ambulance,a__ula_c_
arrow,_r__w
ashtray,__ht_ay
balloon,__l_oo_
bicycle,__c__le
cactus,_ac_u_
camera,_ame_a
canoe,___oe
carrot,c___ot
diamond,_ia__nd
elephant,_lep__n_
envelope,_nve___e
escalator,_sca__t__
fireplace,_ir_p_a_e
flower,f__we_
football,_oo__al_
giraffe,__r_f_e
grasshopper,_ra_s_o_p__
helicopter,_e_ico___r
igloo,i_lo_
intestines,in__stin_s
kangaroo,_a_g_r_o
lobster,l_bs___
microscope,_i_ros_op_
motorcycle,_oto__y___
mountain,m_un__in
needle,n__d_e
newspaper,_ew__ape_
octopus,__topu_
ostrich,_s_ri_h
parachute,_ar_ch_t_
peanut,_e_nu_
pencil,_e_c_l
penguin,pe__ui_
piano,_i__o
pyramid,_yr_mi_
refrigerator,_efri___ato_
rhinoceros,__in_ce_os
sandwich,s__d_i_h
saxophone,sa_op_on_
scissors,__isso__
screwdriver,s__ew_ri_e_
skunk,_ku_k
snowman,_no__an
squirrel,s_ui_re_
submarine,__bm_ri_e
suitcase,__itc_se
sweater,_w_ate_
telescope,__le_c_pe
television,_e_ev__i_n
thermometer,_her__m_te_
toaster,to_s__r
toothbrush,to_t__rus_
tornado,_orn_d_
turkey,t_r__y
typewriter,t__e_rit__
umbrella,_m_re_l_
unicorn,_n_cor_
violin,_io__n
watermelon,_ate__elo_
